ITEM;PLANTA;RUTA;TAG;EQUIPO;COMPONENTE;CONDICION;MODO FALLA 01;MODO FALLA 02;DIAGNOSTICO;AVISO / OT;TIPO DE AVISO;FECHA;STATUS;DIAS;DESCRIPCION SAP
1;PTAE;RUTA 1;120-SS-01A;BOMBA HORIZONTAL;MOTOR;TOLERABLE;Calidad de energia;;"Se observa armonicos de la frecuencia de liena
(Baja cantidad de agua de proceso evita el encendido de equipos)";;;;;;
2;PTAE;RUTA 1;120-SS-01A;BOMBA HORIZONTAL;BOMBA;TOLERABLE;Cavitacion;;Se observa ruido a alta frecuecnia en aceleracion;;;;;;
3;PTAE;RUTA 1;120-SS-01B;BOMBA HORIZONTAL;MOTOR;TOLERABLE;Calidad de energia;Soltura mecanica rotativa;"Se observa armonicos a frecuencia de linea .
Se observa aromicos a la velocidad de giro.";;;;;;
4;PTAE;RUTA 1;120-SS-01B;BOMBA HORIZONTAL;BOMBA;TOLERABLE;Flexibilidad estructural;Cavitacion;Se observa ruido a alta frecuencia en aceleracion;;;;;;
5;PTAE;RUTA 1;120-SS-03;BOMBA HORIZONTAL;MOTOR;TOLERABLE;Desarrollo falla rodamiento;Fuga de corriente;Se observa armonicos incipientes de la frecuencia de linea.;;;;;;
6;PTAE;RUTA 1;120-SS-03;BOMBA HORIZONTAL;BOMBA;TOLERABLE;Cavitacion;;Se observa ruido a alta frecuecnia en aceleracion;;;;;;
7;PTAE;RUTA 1;120-SS-04;BOMBA HORIZONTAL;MOTOR;TOLERABLE;Desarrollo falla rodamiento;Fuga de corriente;Presenta BPFO incicial punto 1H Y 2H;;;;;;
8;PTAE;RUTA 1;120-SS-04;BOMBA HORIZONTAL;BOMBA;TOLERABLE;Cavitacion;;Se observa ruido a alta frecuencia en aceleracion;;;;;;
9;PTAE;RUTA 2;100-PMP-BP-01;BOMBA HORIZONTAL;MOTOR;TOLERABLE;Calidad de energia;;Operador indica insuficiencia de agua blending de mina, no es posible prender el equipo;;;;;;
10;PTAE;RUTA 2;100-PMP-BP-01;BOMBA HORIZONTAL;BOMBA;TOLERABLE;Desgaste de Impulsor;;Operador indica insuficiencia de agua blending de mina, no es posible prender el equipo;;;;;;
11;PTAE;RUTA 2;100-PMP-BP-02;BOMBA HORIZONTAL;MOTOR;TOLERABLE;Calidad de energia;Desarrollo falla rodamiento;Operador indica insuficiencia de agua blending de mina, no es posible prender el equipo;;;;;;
12;PTAE;RUTA 2;100-PMP-BP-02;BOMBA HORIZONTAL;BOMBA;TOLERABLE;Desgaste de Impulsor;;Operador indica insuficiencia de agua blending de mina, no es posible prender el equipo;;;;;;
13;PTAE;RUTA 2;100-PMP-BP-03;BOMBA HORIZONTAL;MOTOR;TOLERABLE;Calidad de energia;;Operador indica insuficiencia de agua blending de mina, no es posible prender el equipo;;;;;;
